Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,원정팀결과,홈팀결과,비고
2012-08-16 18:30,사직,SK,6,5,롯데,승,패,정규시즌
2012-08-17 18:30,사직,넥센,2,0,롯데,승,패,정규시즌
2012-08-18 17:00,사직,넥센,4,5,롯데,패,승,정규시즌
2012-08-19 17:00,사직,넥센,1,4,롯데,패,승,정규시즌
2012-08-24 18:30,사직,두산,1,0,롯데,승,패,정규시즌
2012-08-25 17:00,사직,두산,1,2,롯데,패,승,정규시즌
2012-08-26 17:00,사직,두산,2,3,롯데,패,승,정규시즌
2012-08-31 18:30,사직,LG,0,0,롯데,무,무,정규시즌
2012-09-01 17:00,사직,LG,7,3,롯데,승,패,정규시즌
2012-09-02 17:00,사직,LG,2,7,롯데,패,승,정규시즌
2012-09-04 18:30,사직,기아,2,4,롯데,패,승,정규시즌
2012-09-07 18:30,사직,한화,2,5,롯데,패,승,정규시즌
2012-09-08 17:00,사직,한화,0,3,롯데,패,승,정규시즌
2012-09-10 18:30,사직,한화,1,7,롯데,패,승,정규시즌
2012-09-11 18:30,사직,두산,4,0,롯데,승,패,정규시즌
2012-09-18 18:30,사직,SK,3,1,롯데,승,패,정규시즌
2012-09-19 18:30,사직,SK,7,0,롯데,승,패,정규시즌
2012-09-23 17:00,사직,LG,1,3,롯데,패,승,정규시즌
2012-09-27 18:30,사직,삼성,6,2,롯데,승,패,정규시즌
2012-10-11 18:00,사직,두산,7,2,롯데,승,패,준플레이오프
2012-10-12 18:00,사직,두산,3,4,롯데,패,승,준플레이오프
2012-10-19 18:00,사직,SK,1,4,롯데,패,승,플레이오프
2012-10-20 14:00,사직,SK,2,1,롯데,승,패,플레이오프
2013-03-09 13:00,사직,SK,1,2,롯데,패,승,시범경기
2013-03-10 13:00,사직,SK,6,3,롯데,승,패,시범경기
2013-03-12 13:00,사직,넥센,4,2,롯데,승,패,시범경기
2013-03-14 13:00,사직,삼성,5,3,롯데,승,패,시범경기
2013-03-15 13:00,사직,삼성,0,0,롯데,무,무,시범경기
2013-03-19 13:00,사직,LG,2,0,롯데,승,패,시범경기
2013-03-20 13:00,사직,LG,2,9,롯데,패,승,시범경기
2013-03-30 14:00,사직,한화,5,6,롯데,패,승,정규시즌
2013-03-31 14:00,사직,한화,5,6,롯데,패,승,정규시즌
2013-04-05 18:30,사직,기아,9,3,롯데,승,패,정규시즌
2013-04-07 14:00,사직,기아,3,1,롯데,승,패,정규시즌
2013-04-16 18:30,사직,넥센,7,4,롯데,승,패,정규시즌
2013-04-17 18:30,사직,넥센,4,2,롯데,승,패,정규시즌
2013-04-18 18:30,사직,넥센,14,4,롯데,승,패,정규시즌
2013-04-24 18:30,사직,SK,7,8,롯데,패,승,정규시즌
2013-04-25 18:30,사직,SK,0,6,롯데,패,승,정규시즌
2013-05-03 18:30,사직,삼성,10,3,롯데,승,패,정규시즌
2013-05-04 17:00,사직,삼성,5,3,롯데,승,패,정규시즌
2013-05-05 14:00,사직,삼성,6,1,롯데,승,패,정규시즌
2013-05-10 18:30,사직,LG,4,2,롯데,승,패,정규시즌
2013-05-11 17:00,사직,LG,3,4,롯데,패,승,정규시즌
2013-05-12 17:00,사직,LG,3,8,롯데,패,승,정규시즌
2013-05-14 18:30,사직,NC,2,2,롯데,무,무,정규시즌
2013-05-15 18:30,사직,NC,6,4,롯데,승,패,정규시즌
2013-05-16 18:30,사직,NC,8,5,롯데,승,패,정규시즌
2013-05-28 18:30,사직,두산,3,8,롯데,패,승,정규시즌
2013-05-29 18:30,사직,두산,0,3,롯데,패,승,정규시즌
2013-05-30 18:30,사직,두산,6,8,롯데,패,승,정규시즌
2013-06-04 18:30,사직,기아,7,2,롯데,승,패,정규시즌
2013-06-05 18:30,사직,기아,3,6,롯데,패,승,정규시즌
2013-06-06 14:00,사직,기아,3,13,롯데,패,승,정규시즌
2013-06-12 18:30,사직,넥센,3,6,롯데,패,승,정규시즌
2013-06-13 18:30,사직,넥센,3,4,롯데,패,승,정규시즌
2013-06-14 18:30,사직,한화,5,9,롯데,패,승,정규시즌
2013-06-15 17:00,사직,한화,3,2,롯데,승,패,정규시즌
2013-06-16 17:00,사직,한화,3,4,롯데,패,승,정규시즌
2013-06-26 18:30,사직,NC,2,3,롯데,패,승,정규시즌
2013-06-27 18:30,사직,NC,0,2,롯데,패,승,정규시즌
2013-07-02 18:30,사직,삼성,6,4,롯데,승,패,정규시즌
2013-07-03 18:30,사직,삼성,2,9,롯데,패,승,정규시즌
2013-07-16 18:30,사직,LG,5,3,롯데,승,패,정규시즌
2013-07-17 18:30,사직,LG,5,3,롯데,승,패,정규시즌
2013-07-26 18:30,사직,SK,11,1,롯데,승,패,정규시즌
2013-07-27 18:00,사직,SK,4,7,롯데,패,승,정규시즌
2013-07-28 18:00,사직,SK,4,3,롯데,승,패,정규시즌
2013-07-30 18:30,사직,두산,2,6,롯데,패,승,정규시즌
2013-07-31 18:30,사직,두산,9,1,롯데,승,패,정규시즌
2013-08-01 18:30,사직,두산,8,3,롯데,승,패,정규시즌
2013-08-06 18:30,사직,기아,3,5,롯데,패,승,정규시즌
2013-08-07 18:30,사직,기아,1,7,롯데,패,승,정규시즌
2013-08-15 18:00,사직,넥센,6,1,롯데,승,패,정규시즌
2013-08-16 18:30,사직,넥센,3,9,롯데,패,승,정규시즌
2013-08-17 18:00,사직,NC,3,5,롯데,패,승,정규시즌
2013-08-18 18:00,사직,NC,6,6,롯데,무,무,정규시즌
2013-08-25 18:00,사직,삼성,5,2,롯데,승,패,정규시즌
2013-08-29 18:30,사직,한화,0,1,롯데,패,승,정규시즌
2013-08-30 18:30,사직,한화,4,6,롯데,패,승,정규시즌
2013-08-31 18:00,사직,LG,8,2,롯데,승,패,정규시즌
