Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,원정팀결과,홈팀결과,비고
2012-06-07 18:30,대전,롯데,9,7,한화,승,패,정규시즌
2012-06-09 17:00,사직,기아,4,3,롯데,승,패,정규시즌
2012-06-10 17:00,사직,기아,3,6,롯데,패,승,정규시즌
2012-06-12 18:30,사직,두산,3,4,롯데,패,승,정규시즌
2012-06-13 18:30,사직,두산,7,1,롯데,승,패,정규시즌
2012-06-14 18:30,사직,두산,8,7,롯데,승,패,정규시즌
2012-06-15 18:30,목동,롯데,2,2,넥센,무,무,정규시즌
2012-06-16 17:00,목동,롯데,5,4,넥센,승,패,정규시즌
2012-06-17 17:00,목동,롯데,3,4,넥센,패,승,정규시즌
2012-06-19 18:30,문학,롯데,5,1,SK,승,패,정규시즌
2012-06-20 18:30,문학,롯데,1,3,SK,패,승,정규시즌
2012-06-21 18:30,문학,롯데,7,2,SK,승,패,정규시즌
2012-06-22 18:30,잠실,롯데,6,5,LG,승,패,정규시즌
2012-06-23 17:00,잠실,롯데,6,4,LG,승,패,정규시즌
2012-06-24 17:00,잠실,롯데,7,1,LG,승,패,정규시즌
2012-06-26 18:30,사직,한화,0,3,롯데,패,승,정규시즌
2012-06-27 18:30,사직,한화,2,9,롯데,패,승,정규시즌
2012-06-28 18:30,사직,한화,2,5,롯데,패,승,정규시즌
2012-06-29 18:30,잠실,롯데,1,6,두산,패,승,정규시즌
2012-06-30 17:00,잠실,롯데,1,5,두산,패,승,정규시즌
2012-07-01 17:00,잠실,롯데,2,7,두산,패,승,정규시즌
2012-07-03 18:30,사직,SK,4,6,롯데,패,승,정규시즌
2012-07-04 18:30,사직,SK,3,5,롯데,패,승,정규시즌
2012-07-07 17:00,사직,삼성,0,7,롯데,패,승,정규시즌
2012-07-08 17:00,사직,삼성,7,2,롯데,승,패,정규시즌
2012-07-12 18:30,무등,롯데,1,5,기아,패,승,정규시즌
2012-07-13 18:30,사직,한화,1,1,롯데,무,무,정규시즌
2012-07-17 18:30,목동,롯데,3,6,넥센,패,승,정규시즌
